state,constituency,candidate_name,party,num_votes,total_votes,perc_votes,rank,won
Andhra Pradesh,Ichchapuram,ASHOK BENDALAM,Telugu Desam,79992,172423,0.4639,1,1
Andhra Pradesh,Ichchapuram,PIRIYA SAIRAJ,Yuvajana Sramika Rythu Congress Party,72847,172423,0.4225,2,0
Andhra Pradesh,Ichchapuram,DASARI RAJU,Janasena Party,11123,172423,0.0645,3,0
Andhra Pradesh,Ichchapuram,NOTA,None of the Above,3880,172423,0.0225,4,0
Andhra Pradesh,Ichchapuram,ESWARA RAO KOLLI,Indian National Congress,2138,172423,0.0124,5,0
Andhra Pradesh,Ichchapuram,JANNALA SURYAVARA PRASADA RAO,Bharatiya Janata Party,1826,172423,0.0106,6,0
Andhra Pradesh,Ichchapuram,GANAPA VANAJAKSHI,Independent,617,172423,0.0036,7,0
Andhra Pradesh,Palasa,APPALARAJU SEEDIRI,Yuvajana Sramika Rythu Congress Party,76603,150691,0.5083,1,1
Andhra Pradesh,Palasa,GOUTHU SIREESHA,Telugu Desam,60356,150691,0.4005,2,0
Andhra Pradesh,Palasa,KOTHA PURNACHANDRA RAO,Janasena Party,6133,150691,0.0407,3,0
Andhra Pradesh,Palasa,NOTA,None of the Above,3044,150691,0.0202,4,0
Andhra Pradesh,Palasa,KORRAYI BALAKRISHNA,Bharatiya Janata Party,1574,150691,0.0104,5,0
Andhra Pradesh,Palasa,MAJJI SARADA,Indian National Congress,1255,150691,0.0083,6,0
Andhra Pradesh,Palasa,DUNNA VASUDEVU,Independent,639,150691,0.0042,7,0
Andhra Pradesh,Palasa,MANOJ NALANAGULA,Independent,392,150691,0.0026,8,0
Andhra Pradesh,Palasa,KAMESWARA RAO POTHANAPALLI,Communist Party of India  (Marxist-Leninist)  (Liberation),369,150691,0.0024,9,0
Andhra Pradesh,Palasa,MAMIDI PRASAD,Independent,326,150691,0.0022,10,0
Andhra Pradesh,Tekkali,ATCHANNAIDU KINJARAPU,Telugu Desam,87658,176583,0.4964,1,1
Andhra Pradesh,Tekkali,PERADA TILAK,Yuvajana Sramika Rythu Congress Party,79113,176583,0.448,2,0
Andhra Pradesh,Tekkali,NOTA,None of the Above,2935,176583,0.0166,3,0
Andhra Pradesh,Tekkali,Kaniti Kiran Kumar,Janasena Party,2806,176583,0.0159,4,0
Andhra Pradesh,Tekkali,Chintada Dileep Kumar,Indian National Congress,1743,176583,0.0099,5,0
Andhra Pradesh,Tekkali,HANUMANTHU UDAY BHASKAR,Bharatiya Janata Party,929,176583,0.0053,6,0
Andhra Pradesh,Tekkali,Ramu Geddevalasa,Independent,614,176583,0.0035,7,0
Andhra Pradesh,Tekkali,Gutla Kanchana,Independent,569,176583,0.0032,8,0
Andhra Pradesh,Tekkali,Chandrasekhara Patnaik,All India Forward Bloc,216,176583,0.0012,9,0
Andhra Pradesh,Pathapatnam,REDDY SHANTHI,Yuvajana Sramika Rythu Congress Party,76941,152599,0.5042,1,1
Andhra Pradesh,Pathapatnam,KALAMATA VENKATA RAMANA MURTHY,Telugu Desam,61390,152599,0.4023,2,0
Andhra Pradesh,Pathapatnam,GEDELA GYANA SAGAR,Janasena Party,5508,152599,0.0361,3,0
Andhra Pradesh,Pathapatnam,NOTA,None of the Above,4217,152599,0.0276,4,0
Andhra Pradesh,Pathapatnam,BANNA RAMU,Indian National Congress,1702,152599,0.0112,5,0
Andhra Pradesh,Pathapatnam,RAGHAVA RAO SALANA,Bharatiya Janata Party,1450,152599,0.0095,6,0
Andhra Pradesh,Pathapatnam,KANTUBHUKTA BHASKARA RAO,Andhra Chaitanya Party,526,152599,0.0034,7,0
Andhra Pradesh,Pathapatnam,MULLETI SRINIVAS ACHARI,Independent,521,152599,0.0034,8,0
Andhra Pradesh,Pathapatnam,BHASKARARAO BODDEPALLI,Independent,344,152599,0.0023,9,0
Andhra Pradesh,Srikakulam,DHARMANA PRASADA RAO,Yuvajana Sramika Rythu Congress Party,84084,177297,0.4743,1,1
Andhra Pradesh,Srikakulam,GUNDA LAKSHMI DEVI,Telugu Desam,78307,177297,0.4417,2,0
Andhra Pradesh,Srikakulam,KORADA SARVESWARA RAO,Janasena Party,7557,177297,0.0426,3,0
Andhra Pradesh,Srikakulam,NOTA,None of the Above,3082,177297,0.0174,4,0
Andhra Pradesh,Srikakulam,CHOWDARI SATISH,Indian National Congress,1827,177297,0.0103,5,0
Andhra Pradesh,Srikakulam,CHALLA VENKATESWARA RAO,Bharatiya Janata Party,1340,177297,0.0076,6,0
Andhra Pradesh,Srikakulam,MYLAPILLI TEJU,Independent,533,177297,0.003,7,0
Andhra Pradesh,Srikakulam,RAGOLU NAGA SIVA,Jana Jagruti Party,305,177297,0.0017,8,0
Andhra Pradesh,Srikakulam,MAHESH A,Pyramid Party of India,262,177297,0.0015,9,0
Andhra Pradesh,Amadalavalasa,THAMMINENI SEETHARAM,Yuvajana Sramika Rythu Congress Party,77897,150071,0.5191,1,1
Andhra Pradesh,Amadalavalasa,KOONA RAVIKUMAR,Telugu Desam,63906,150071,0.4258,2,0
